ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
5 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,2018 BMW X5 Plug In Hybrid XDrive40e,"$36,998*",33K miles,332,313 horsepower@5000rpm,22.5 gal,"193.2"" L x 76.3"" W x 69.4"" H","115.5""",P255/50HR19,"40.4""","40.5""",34.2 cu ft,"5,220 lbs","5,952/5,952 lbs",Null,"4-cyl, Plug-in Hybrid, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
7 year(s),,Null,2 Service Record(s) Reported,2016 Ford F150 XLT,"$26,998*",109K miles,387 torque@3850rpm,385 horsepower@5750rpm,23 gal,"231.9"" L x 79.9"" W x 77.2"" H","145""",P265/70SR17,"43.9""","40.8""",Null,"4,709 lbs","7,100/7,100 lbs",15 city/21 hwy,"8-cyl, Gas, 5.0L",Four Wheel Drive,Automatic,Green/Gray,,2']
9 year(s),,Null,7 Service Record(s) Reported,2014 Honda Pilot Touring,"$20,998*",110K miles,253 torque@4800rpm,250 horsepower@5700rpm,21 gal,Null,"109.2""",P235/60TR18,"41.4""","39.3""",18 cu ft,"4,608 lbs","4,500/4,500 lbs",17 city/24 hwy,"6-cyl, Gas, 3.5L",Four Wheel Drive,Automatic,White/Gray,,2']
7 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,2016 Jeep Grand Cherokee Limited,"$23,998*",58K miles,260 torque@4000rpm,293 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P265/60TR18,"40.3""","39.9""",36.3 cu ft,"4,875 lbs","3,500/3,500 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),,Null,3 Service Record(s) Reported,2020 Land Rover Range Rover Evoque R-Dynamic SE,"$37,998*",54K miles,295 torque@1500rpm,296 horsepower@5500rpm,17.7 gal,"172.1"" L x 75"" W x 64.9"" H","105.6""",P235/50WR20,"40""","39.9""",21.5 cu ft,"4,075 lbs","3,968/3,968 lbs",21 city/26 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,,2']
11 year(s),No Accidents or Damage Reported,Null,,2012 Jeep Wrangler Sport,"$19,998*",113K miles,260 torque@4800rpm,285 horsepower@6400rpm,18.6 gal,Null,"95.4""",P225/75R16,"41.0""","41.3""",Null,"3,760 lbs",Null,17 city/21 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Manual 6 Speed,Silver/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,2019 Jeep Compass Trailhawk,"$23,998*",52K miles,175 torque@3900rpm,180 horsepower@6400rpm,13.5 gal,"173"" L x 73.8"" W x 64.8"" H","103.8""",P215/65SR17,"41.8""","39.2""",27.2 cu ft,"3,633 lbs","1,000/1,000 lbs",22 city/30 hwy,"4-cyl, Gas, 2.4L",Four Wheel Drive,Automatic,White/Black,,2']
3 year(s),,Null,,2020 Kia Sorento LX,"$22,998*",45K miles,178 torque@4000rpm,185 horsepower@6000rpm,18.8 gal,"189"" L x 74.4"" W x 66.3"" H","109.4""",P235/65HR17,"44.1""","39.5""",11.3 cu ft,"3,953 lbs","2,000/2,000 lbs",21 city/26 hwy,"4-cyl, Gas, 2.4L",All Wheel Drive,Automatic,Blue/Black,,2']
2 year(s),,Null,,2021 Buick Encore Preferred,"$21,998*",19K miles,148 torque@1850rpm,138 horsepower@4900rpm,14.0 gal,"168.35"" L x 70.1"" W x 65.2"" H","100.6""",P215/55R18,"40.8""","39.58""",Null,"3,237 lbs",Null,24 city,"4-cyl, Turbo Gas, 1.4L",Front Wheel Drive,Automatic,White/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2017 Jeep Patriot Sport,"$18,998*",39K miles,,,13.6 gal,"173.8"" L x 69.2"" W x 65.5"" H","103.7""",P205/70TR16,"40.6""","41""",23 cu ft,"3,136 lbs","1,000/1,000 lbs",23 city/30 hwy,"4-cyl, Gas, 2.4L",Null,Automatic,White/Black,,2']
