,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
11,2013 Hyundai Santa Fe Sport,14998,117 ,10,No Accidents or Damage Reported,0,1,17.4,106.3,41.3,39.6,0,3459,Null,Front Wheel Drive,Automatic,181,4250,184.6,74.0,66.1,21,29,4, Gas,2.4,Orange,Gray,425.9
12,2017 Ford Escape S,18998,48 ,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3 cu ft,3515,"1,500/1,500 lbs",Front Wheel Drive,Automatic,170,4500,178.1,72.4,66.3,21,29,4, Gas,2.5,Orange,Gray,377.8
13,2017 GMC Terrain SLE,16998,101 ,6,No Accidents or Damage Reported,0,4,18.8,112.5,41.2,39.8,0,3792,Null,Front Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,21,31,4, Gas,2.4,Gray,Black,351.0
14,2017 Mitsubishi Outlander Sport ES,18998,23 ,6,No Accidents or Damage Reported,0,0,16.6,105.1,41.6,39.4,21.7 cu ft,3032,Null,Front Wheel Drive,Manual 5 Speed,145,4200,171.5,71.3,64.8,23,29,4, Gas,2.0,Silver,Black,345.2
15,2018 BMW X3 XDrive30i,28998,56 ,5,No Accidents or Damage Reported,0,4,17.2,112.8,40.3,41.1,28.7 cu ft,4156,Null,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3
16,2015 Acura MDX,18998,116 ,8,No Accidents or Damage Reported,0,20,19.5,111.0,41.4,38.1,14.8 cu ft,4294,"3,500/3,500 lbs",All Wheel Drive,Automatic,267,4500,193.6,77.2,67.6,18,27,6, Gas,3.5,White,Tan,593.3
17,2019 Jeep Compass Altitude,24998,51 ,4,No Accidents or Damage Reported,0,3,13.5,103.8,41.8,39.2,27.2 cu ft,3184,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7
19,2018 Kia Sorento LX,20998,60 ,5,No Accidents or Damage Reported,0,6,18.8,109.4,44.1,39.5,11.3 cu ft,3840,"2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Black,445.0
20,2016 Jeep Patriot High Altitude,15998,97 ,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23 cu ft,3210,"1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,White,Black,282.0
21,2018 Hyundai Tucson SEL,16998,101 ,5,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31 cu ft,3300,"1,000/1,000 lbs",Front Wheel Drive,Automatic,151,4000,176.2,72.8,64.8,23,30,4, Gas,2.0,Blue,Black,377.5
23,2020 Volvo XC90 T6 Momentum,39998,32 ,3,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6 cu ft,4394,"5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,27,4, Turbo Supercharged,2.0,White,Tan,1340.9
24,2016 Audi Q5 Premium Plus,22998,65 ,7,No Accidents or Damage Reported,0,1,19.8,110.5,41.0,39.4,29.1 cu ft,4200,"4,400/4,400 lbs",All Wheel Drive,Automatic,258,1500,182.6,74.7,65.2,20,28,4, Turbo Gas,2.0,Pearl,Tan,1720.0
25,2016 Kia Sorento EX,18998,76 ,7,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,38.8 cu ft,4004,"3,500/3,500 lbs",All Wheel Drive,Automatic,260,1450,187.4,74.4,66.3,19,25,4, Turbo Gas,2.0,White,Black,1793.1
26,2017 Nissan Rogue SV,16998,116 ,6,No Accidents or Damage Reported,0,8,14.5,106.5,43.0,41.6,39.3 cu ft,3441,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.1,26,33,4, Gas,2.5,Blue,Gray,397.7
27,2014 Nissan Rogue S,14998,124 ,9,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3 cu ft,3393,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,4400,182.3,72.4,66.3,26,33,4, Gas,2.5,Silver,Tan,397.7
28,2018 Kia Sportage EX,17998,82 ,5,No Accidents or Damage Reported,0,6,16.4,105.1,41.5,39.3,30.7 cu ft,3305,"1,650/1,650 lbs",Front Wheel Drive,Automatic,175,4000,176.4,73.0,64.8,22,29,4, Gas,2.4,Blue,Black,437.5
29,2019 Volvo XC90 T6 Momentum,37998,36 ,4,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6 cu ft,4394,"5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,19,26,4, Turbo Supercharged,2.0,Blue,Tan,1340.9
