Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
60,2015 BMW M4,"$35,998*",74K miles,8 year(s),No Accidents or Damage Reported,Null,10 Service Record(s) Reported,15.9 gal,"110.7""","42.2""","40.4""",Null,"4,055 lbs",Null,Rear Wheel Drive,Automatic,406,1850,"184.5"" L "," 73.6"" W "," 54.6"" H",17 city,26 hwy,6-cyl, Turbo Gas, 3.0L,Silver,Gray,2194.5945945945946
61,2015 BMW M4,"$44,998*",32K miles,8 year(s),No Accidents or Damage Reported,Null,5 Service Record(s) Reported,15.9 gal,"110.7""","42.2""","39.8""",Null,"3,530 lbs",Null,Rear Wheel Drive,Automatic,406,1850,"184.5"" L "," 73.6"" W "," 54.4"" H",17 city,26 hwy,6-cyl, Turbo Gas, 3.0L,Gray,Tan,2194.5945945945946
62,2014 Ford Mustang Shelby GT500,"$55,998*",25K miles,9 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","42.4""","38.5""",Null,"3,845 lbs",Null,Rear Wheel Drive,Manual 6 Speed,631,4000,"189.4"" L "," 73.9"" W "," 55.4"" H",15 city,24 hwy,8-cyl, Supercharged Gas, 5.8L,White,Black,1577.5
63,2014 Hyundai Genesis,"$21,998*",28K miles,9 year(s),,Null,,17.2 gal,"111""","44.1""","39.2""",Null,"3,495 lbs",Null,Rear Wheel Drive,Automatic,275,2000,"182.3"" L "," 73.4"" W "," 54.5"" H",17 city,27 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1375.0
64,2023 Ford Mustang Mach 1,"$56,998*",2K miles,Current Year,No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,868 lbs",Null,Rear Wheel Drive,Manual 6 Speed,410,4800,"188.3"" L "," 75.4"" W "," 54.4"" H",Null,Null,8-cyl, Gas, 5.0L,Gray,Black,854.1666666666666
65,2021 Dodge Challenger SXT,"$24,998*",59K miles,2 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"3,858 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.7"" H",19 city,30 hwy,6-cyl, Gas, 3.6L,Red,Black,558.3333333333334
66,2021 Dodge Challenger R/T,"$33,998*",19K miles,2 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,182 lbs",Null,Null,Automatic,410,4300,"197.9"" L "," 75.7"" W "," 57.7"" H",15 city,23 hwy,8-cyl, Gas, 5.7L,White,Black,953.4883720930233
67,2018 Ford Mustang Ecoboost,"$22,998*",64K miles,5 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Gray,Black,1166.6666666666667
68,2014 Chevrolet Corvette Stingray,"$38,998*",78K miles,9 year(s),,Null,,18.5 gal,"106.70""","43.00""","37.90""",Null,"3,298 lbs",Null,Rear Wheel Drive,Automatic,460,4600,"176.90"" L "," 73.90"" W "," 48.80"" H",17 city,29 hwy,8-cyl, Gas, 6.2L,Burgundy,Brown,1000.0
70,2020 Ford Mustang Ecoboost Premium,"$26,998*",38K miles,3 year(s),,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.3L,Silver,Black,1166.6666666666667
