Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
66,2018 Audi S4 Premium Plus,"$35,998*",22K miles,5 year(s),No Accidents or Damage Reported,Null,,15.3 gal,"111.2""","41.3""","38.9""",Null,"3,858 lbs",Null,All Wheel Drive,Automatic,369,1370,"186.8"" L "," 72.5"" W "," 55.3"" H",21 city,30 hwy,6-cyl, Turbo Gas, 3.0L,Red,Gray,2693.430656934306
67,2021 Mazda MX-5 Miata Grand Touring,"$30,998*",4K miles,2 year(s),No Accidents or Damage Reported,Null,,11.9 gal,"90.9""","43.1""","37.4""",Null,"2,341 lbs",Null,Rear Wheel Drive,Manual 5 Speed,151,4000,"154.1"" L "," 68.3"" W "," 48.8"" H",26 city,34 hwy,4-cyl, Gas, 2.0L,Gray,Black,377.5
68,2023 Mazda MX-5 Miata Club,"$33,998*",3K miles,Current Year,No Accidents or Damage Reported,Null,,11.9 gal,"90.9""","43.1""","37.4""",Null,"2,341 lbs",Null,Rear Wheel Drive,Manual 6 Speed,151,4000,"154.1"" L "," 68.3"" W "," 48.8"" H",Null,Null,4-cyl, Gas, 2.0L,Silver,Black,377.5
69,2019 Mazda MX-5 Miata Club,"$26,998*",10K miles,4 year(s),No Accidents or Damage Reported,Null,,11.9 gal,"90.9""","43.1""","37.4""",Null,"2,388 lbs",Null,Rear Wheel Drive,Automatic,151,4000,"154.1"" L "," 68.3"" W "," 48.8"" H",26 city,35 hwy,4-cyl, Gas, 2.0L,Red,Black,377.5
70,2018 Fiat 124 Spider Classica,"$21,998*",30K miles,5 year(s),No Accidents or Damage Reported,Null,,11.9 gal,"90.9""","43.1""","37.4""",Null,"2,436 lbs",Null,Rear Wheel Drive,Manual 6 Speed,184,3200,"159.6"" L "," 68.5"" W "," 48.5"" H",26 city,35 hwy,4-cyl, Turbo Gas, 1.4L,Gray,Black,575.0
71,2019 Ford Mustang Ecoboost Premium,"$25,998*",37K miles,4 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Rear Wheel Drive,Manual 6 Speed,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",20 city,28 hwy,4-cyl, Turbo Gas, 2.3L,Red,Black,1166.6666666666667
73,2015 Chevrolet Corvette Stingray,"$43,998*",21K miles,8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,18.5 gal,"106.70""","43.00""","37.90""",Null,"3,298 lbs",Null,Rear Wheel Drive,Automatic,460,4600,"176.90"" L "," 73.90"" W "," 48.80"" H",17 city,29 hwy,8-cyl, Gas, 6.2L,Silver,Black,1000.0
74,2018 Dodge Challenger T/A 392,"$42,998*",17K miles,5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,18.5 gal,"116.2""","42""","39.3""",Null,"4,232 lbs",Null,Rear Wheel Drive,Automatic,475,4100,"197.9"" L "," 75.7"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Black,Black,1158.5365853658536
75,2019 Audi S5 Premium Plus,"$35,998*",47K miles,4 year(s),No Accidents or Damage Reported,Null,,15.3 gal,"108.8""","41.3""","39""",Null,"3,847 lbs",Null,All Wheel Drive,Automatic,369,1370,"184.7"" L "," 72.7"" W "," 53.9"" H",21 city,30 hwy,6-cyl, Turbo Gas, 3.0L,Black,Black,2693.430656934306
76,2019 Volkswagen Jetta GLI Autobahn,"$26,998*",35K miles,4 year(s),No Accidents or Damage Reported,Null,,13.2 gal,"105.6""","41.1""","38.5""",Null,"3,274 lbs",Null,Front Wheel Drive,Automatic,258,1700,"185.2"" L "," 70.8"" W "," 56.8"" H",25 city,32 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,1517.6470588235295
77,2014 Scion FR-S,"$19,998*",78K miles,9 year(s),,Null,1 Service Record(s) Reported,13.2 gal,"101.2""","41.9""","37.1""",Null,"2,758 lbs",Null,Rear Wheel Drive,Manual 6 Speed,151,6400,"166.7"" L "," 69.9"" W "," 50.6"" H",22 city,30 hwy,4-cyl, Gas, 2.0L,Red,Black,235.9375
78,2016 BMW M4,"$43,998*",46K miles,7 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,15.9 gal,"110.7""","42.2""","39.8""",Null,"3,530 lbs",Null,Rear Wheel Drive,Automatic,406,1850,"184.5"" L "," 73.6"" W "," 54.4"" H",17 city,26 hwy,6-cyl, Turbo Gas, 3.0L,Gray,Gray,2194.5945945945946
79,2020 Dodge Challenger R/T Scat Pack Widebody,"$49,998*",7K miles,3 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,308 lbs",Null,Null,Automatic,475,4100,"197.9"" L "," 79.2"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Red,Black,1158.5365853658536
82,2018 BMW M550 I xDrive,"$41,998*",42K miles,5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,18 gal,"117.1""","41.4""","38.8""",Null,"4,372 lbs",Null,All Wheel Drive,Automatic,480,1800,"195.4"" L "," 73.5"" W "," 57.8"" H",16 city,25 hwy,8-cyl, Turbo Gas, 4.4L,Gray,Black,2666.6666666666665
83,2022 Dodge Challenger GT,"$31,998*",16K miles,1 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"3,886 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.7"" H",Null,Null,6-cyl, Gas, 3.6L,Gray,Red,558.3333333333334
84,2020 Jaguar F-Type Checkered Flag,"$44,998*",24K miles,3 year(s),,Null,3 Service Record(s) Reported,16.6 gal,"103.2""","42.8""","36.8""",Null,"3,360 lbs",Null,Rear Wheel Drive,Automatic,295,1500,"176.5"" L "," 75.7"" W "," 51.6"" H",23 city,30 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,1966.6666666666665
85,2018 Fiat 124 Spider Lusso,"$21,998*",29K miles,5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,11.9 gal,"90.9""","43.1""","37.4""",Null,"2,436 lbs",Null,Null,Automatic,184,3200,"159.6"" L "," 68.5"" W "," 48.5"" H",26 city,35 hwy,4-cyl, Turbo Gas, 1.4L,Red,Black,575.0
