,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
10,3,No Accidents or Damage Reported,0,0,2020 Toyota Corolla LE,24998,10,126,106.3,42.0,38.3,Null,2955,Null,Front Wheel Drive,Automatic,126,3900,182.3,70.1,56.5,30,38,4, Gas,1.8,White,Black,323.1
11,6,No Accidents or Damage Reported,0,2,2017 Audi A4 Premium,24998,32,273,111.0,41.3,38.9,Null,3483,Null,Front Wheel Drive,Automatic,273,1600,186.1,72.5,56.2,25,33,4, Turbo Gas,2.0,Gray,Black,1706.2
12,7,No Accidents or Damage Reported,0,0,2016 Audi A6 Premium Plus,23998,75,325,114.6,41.3,37.2,Null,4178,Null,All Wheel Drive,Automatic,325,2900,194.2,73.8,57.8,20,29,6, Supercharged Gas,3.0,Black,Black,1120.7
13,7,No Accidents or Damage Reported,0,0,2016 Kia Optima EX,14599,124,178,110.4,45.5,39.8,Null,3362,Null,Front Wheel Drive,Automatic,178,4000,191.1,73.2,57.7,24,35,4, Gas,2.4,Burgundy,Black,445.0
14,9,No Accidents or Damage Reported,0,0,2014 Audi A6 Premium Plus,22998,41,258,114.7,41.3,37.2,Null,3957,Null,All Wheel Drive,Automatic,258,1500,193.9,73.8,57.8,20,29,4, Turbo Gas,2.0,Black,Black,1720.0
15,7,No Accidents or Damage Reported,0,0,2016 Ford Taurus Limited,15998,122,254,112.9,41.9,39.0,Null,3917,Null,Front Wheel Drive,Automatic,254,4000,202.9,76.2,60.7,18,27,6, Gas,3.5,Black,Black,635.0
16,10,No Accidents or Damage Reported,0,2,2013 Nissan Maxima SV,14998,98,261,109.3,43.8,38.8,Null,3568,Null,Front Wheel Drive,Automatic,261,4400,190.6,73.2,57.8,19,26,6, Gas,3.5,Brown,Tan,593.2
17,0,No Accidents or Damage Reported,0,0,2023 Mitsubishi Mirage G4 Black Edition,19998,6,74,100.4,41.7,38.9,Null,2172,Null,Front Wheel Drive,Automatic,74,4000,169.5,65.7,59.2,35,41,3, Gas,1.2,Gray,Black,185.0
18,1,No Accidents or Damage Reported,0,0,2022 Toyota Corolla SE,25998,4,151,106.3,42.0,38.3,Null,3110,Null,Front Wheel Drive,Automatic,151,4400,182.5,70.1,56.5,31,40,4, Gas,2.0,Blue,Black,343.2
19,6,No Accidents or Damage Reported,0,0,2017 Honda Civic LX,17998,118,138,106.3,42.3,39.3,Null,2761,Null,Front Wheel Drive,Automatic,138,4200,182.3,70.8,55.7,31,40,4, Gas,2.0,Gray,Gray,328.6
20,7,No Accidents or Damage Reported,0,0,2016 Honda Accord EX-L,18998,109,181,109.3,42.5,37.6,Null,3360,Null,Front Wheel Drive,Automatic,181,3900,192.5,72.8,57.7,27,37,4, Gas,2.4,White,Tan,464.1
21,4,No Accidents or Damage Reported,0,0,2019 Chevrolet Sonic LT,16998,45,148,99.4,41.8,38.7,Null,2880,Null,Front Wheel Drive,Automatic,148,1850,173.9,68.3,59.7,26,34,4, Turbo Gas,1.4,Silver,Black,800.0
22,9,No Accidents or Damage Reported,0,1,2014 Mercedes-Benz C300 Sport,19998,68,251,108.7,41.7,37.1,Null,3726,Null,All Wheel Drive,Automatic,251,3500,180.8,69.7,56.3,20,27,6, Gas,3.5,White,Tan,717.1
23,4,No Accidents or Damage Reported,0,1,2019 Nissan Sentra SV,19998,26,125,106.3,42.5,39.4,Null,2880,Null,Front Wheel Drive,Automatic,125,3600,182.1,69.3,58.9,29,37,4, Gas,1.8,Red,Black,347.2
24,5,No Accidents or Damage Reported,0,5,2018 BMW X1 XDrive28i,24998,60,258,105.1,40.4,41.9,27.1 cu ft,3697,Null,All Wheel Drive,Automatic,258,1450,175.4,71.7,62.9,22,31,4, Turbo Gas,2.0,Blue,Black,1779.3
25,10,No Accidents or Damage Reported,0,0,2013 Hyundai Sonata GLS,15998,63,179,110.0,45.5,40.0,Null,3316,Null,Front Wheel Drive,Automatic,179,4250,189.8,72.2,57.9,24,35,4, Gas,2.4,Red,Tan,421.2
26,5,No Accidents or Damage Reported,0,0,2018 Volvo S90 T5 Momentum,28998,26,258,120.5,42.2,37.8,Null,3870,Null,Front Wheel Drive,Automatic,258,1500,200.1,74.4,57.1,24,34,4, Turbo Gas,2.0,Black,Tan,1720.0
27,6,No Accidents or Damage Reported,0,2,2017 Mercedes-Benz E300,29998,36,273,115.7,41.3,37.9,Null,3891,Null,All Wheel Drive,Automatic,273,1300,193.8,73.7,57.8,22,29,4, Turbo Gas,2.0,Black,Black,2100.0
