,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
167,2019 Hyundai Kona SE,"$18,998*",59K miles,4,No Accidents or Damage Reported,0,1,13.2,102.4,41.5,39.6,19.2,2890,0,Front Wheel Drive,Automatic,132,4500,164.0,70.9,61.0,27,33,4, Gas,2.0,Blue,Black,293.3
168,2016 Honda Pilot EX-L,"$23,998*",97K miles,7,No Accidents or Damage Reported,0,3,19.5,111.0,40.9,39.5,16.5,4288,0,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,White,Tan,557.4
170,2019 Ford Edge ST,"$29,998*",46K miles,4,No Accidents or Damage Reported,0,4,18.5,112.2,42.6,40.2,39.2,4477,3500,All Wheel Drive,Automatic,380,3250,188.8,75.9,68.3,19,26,6, Turbo Gas,2.7,White,Black,1169.2
171,2020 BMW X5 xDrive40i,"$37,998*",47K miles,3,No Accidents or Damage Reported,0,0,21.9,117.1,39.8,40.8,33.9,4991,6603,All Wheel Drive,Automatic,330,1500,194.3,78.9,68.7,20,26,6, Turbo Gas,3.0,Blue,Black,2200.0
173,2018 Toyota Highlander XLE,"$32,998*",45K miles,5,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,39.5,13.8,4590,5000,All Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,20,26,6, Gas,3.5,Gray,Gray,559.6
174,2019 Subaru Crosstrek Premium,"$23,998*",55K miles,4,No Accidents or Damage Reported,0,0,16.6,104.9,43.1,39.8,20.8,3186,1500,All Wheel Drive,Automatic,145,4000,175.8,71.0,63.6,27,33,4, Gas,2.0,Silver,Black,362.5
175,2014 Buick Encore Premium,"$18,998*",58K miles,9,No Accidents or Damage Reported,0,4,14.0,100.6,40.8,39.6,0.0,3309,0,All Wheel Drive,Automatic,148,1850,168.4,69.9,65.2,23,30,4, Turbo Gas,1.4,Pearl,Gray,800.0
176,2019 Nissan Rogue Sport S,"$21,998*",50K miles,4,No Accidents or Damage Reported,0,0,14.5,104.2,42.8,39.6,22.9,3377,0,All Wheel Drive,Automatic,147,4400,172.4,72.3,63.3,24,30,4, Gas,2.0,Silver,Black,334.1
178,2018 Honda CR-V EX,"$22,998*",94K miles,5,No Accidents or Damage Reported,0,1,14.0,104.7,41.3,38.0,39.2,3473,0,All Wheel Drive,Automatic,179,2000,180.6,73.0,66.5,27,33,4, Turbo Gas,1.5,Silver,Black,895.0
179,2019 Toyota C-HR XLE,"$25,998*",22K miles,4,No Accidents or Damage Reported,0,0,13.2,103.9,43.5,38.1,19.0,3300,0,Front Wheel Drive,Automatic,139,3900,171.2,70.7,61.6,27,31,4, Gas,2.0,Red,Black,356.4
180,2020 Toyota Highlander XLE,"$37,998*",31K miles,3,No Accidents or Damage Reported,0,0,17.9,112.2,40.4,38.4,16.0,4370,5000,All Wheel Drive,Automatic,263,4700,194.9,76.0,68.1,20,27,6, Gas,3.5,Blue,Gray,559.6
181,2016 Toyota RAV4 SE,"$20,998*",104K miles,7,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,38.9,38.4,3630,1500,All Wheel Drive,Automatic,172,4100,181.1,72.6,65.5,22,29,4, Gas,2.5,Black,Black,419.5
182,2016 GMC Terrain Denali,"$19,998*",95K miles,7,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,39.8,0.0,4068,0,All Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,20,29,4, Gas,2.4,Red,Gray,351.0
