,Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
75,96,2015 Hyundai Genesis,19998,74,8,No Accidents or Damage Reported,0,0,17.2,111.0,44.1,39.2,0.0,3495,Null,Rear Wheel Drive,Automatic,295,5100,182.3,73.4,54.5,16,25,6, Gas,3.8,White,Black,578.4
76,97,2013 BMW 328 I,18998,65,10,No Accidents or Damage Reported,0,16,16.1,108.7,41.8,38.4,0.0,3583,Null,Rear Wheel Drive,Automatic,200,2750,181.9,71.5,54.9,18,28,6, Gas,3.0,Burgundy,Gray,727.3
77,98,2014 Chevrolet Camaro LT,22998,39,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2
78,99,2014 Ford Mustang,16998,110,9,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0.0,3501,Null,Null,Automatic,280,4250,188.5,73.9,55.8,19,29,6, Gas,3.7,Blue,Tan,658.8
79,100,2019 Chevrolet Camaro 2SS,34998,54,4,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.4,0.0,3956,Null,Null,Automatic,455,4400,188.3,74.7,52.9,16,24,8, Gas,6.2,Silver,Black,1034.1
80,101,2018 Subaru BRZ Limited,28998,23,5,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,0.0,2840,Null,Rear Wheel Drive,Automatic,151,6400,166.7,69.9,50.6,24,33,4, Gas,2.0,Blue,Black,235.9
81,102,2019 Ford Mustang Ecoboost,24998,55,4,No Accidents or Damage Reported,0,2,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Red,Black,1166.7
83,104,2021 Dodge Challenger SXT,26998,59,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4057,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,58.4,18,27,6, Gas,3.6,Black,Black,558.3
84,105,2014 Chevrolet Camaro LT,22998,46,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2
85,106,2014 Chevrolet Camaro LT,20998,70,9,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,White,Black,579.2
86,107,2020 Ford Mustang Shelby GT350,59998,28,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3760,Null,Rear Wheel Drive,Manual 6 Speed,429,4750,188.9,75.9,54.2,14,21,8, Gas,5.2,Gray,Gray,903.2
