,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
15,4,No Accidents or Damage Reported,0,0,2019 Ram 1500 Classic SLT,27998,52,26.0,149.0,41.0,41.0,0,5269,"8,010/8,010 lbs",Rear Wheel Drive,Automatic,410,3950,237.9,79.4,77.5,15,22,8, Gas,5.7,Black,Gray,1038.0
16,0,No Accidents or Damage Reported,0,0,2023 Toyota Tundra SR5,45998,17,22.5,145.7,41.2,41.0,0,5095,"11,370/11,370 lbs",Rear Wheel Drive,Automatic,479,2400,233.6,80.2,78.0,18,23,6, Turbo Gas,3.5,Gray,Gray,1995.8
17,3,No Accidents or Damage Reported,0,3,2020 Jeep Gladiator Rubicon,42998,28,22.0,137.3,41.2,42.8,0,5050,"4,500/4,500 lbs",Null,Automatic,260,4400,218.0,73.8,76.1,16,23,6, Gas,3.6,Black,Black,590.9
18,7,No Accidents or Damage Reported,0,8,2016 Ford F150 XLT,27998,37,23.0,145.0,43.9,40.8,0,4392,"5,000/5,000 lbs",Rear Wheel Drive,Automatic,253,4250,231.9,79.9,75.5,18,25,6, Gas,3.5,Burgundy,Gray,595.3
19,7,No Accidents or Damage Reported,0,8,2016 Toyota Tacoma TRD Off Road,30998,63,21.1,140.6,42.9,39.7,0,4480,"3,500/3,500 lbs",Four Wheel Drive,Automatic,265,4600,225.5,75.2,70.6,18,23,6, Gas,3.5,White,Gray,576.1
20,8,No Accidents or Damage Reported,0,0,2015 Ram 1500 Laramie Longhorn,33998,80,32.0,149.0,41.0,41.0,0,5684,"7,750/7,750 lbs",Four Wheel Drive,Automatic,420,2000,237.9,79.4,77.9,19,27,6, Turbo Diesel,3.0,Black,Brown,2100.0
21,5,No Accidents or Damage Reported,0,3,2018 Ram 1500 Bighorn,33998,44,26.0,140.0,41.0,41.0,0,5219,"4,250/4,250 lbs",Four Wheel Drive,Automatic,410,3950,229.0,79.4,77.5,15,21,8, Gas,5.7,White,Gray,1038.0
22,3,No Accidents or Damage Reported,0,2,2020 Ram 1500 Bighorn,33998,38,26.0,144.5,40.9,40.9,0,5082,"6,280/6,280 lbs",Four Wheel Drive,Automatic,269,4800,232.9,82.1,77.6,19,24,6, Gas,3.6,Red,Gray,560.4
23,3,No Accidents or Damage Reported,0,0,2020 Chevrolet Silverado 1500 Custom,34998,61,24.0,156.95,44.53,43.03,0,4867,"9,500/9,500 lbs",Four Wheel Drive,Automatic,305,3900,241.21,81.24,75.4,15,20,6, Gas,4.3,Black,Black,782.1
24,3,No Accidents or Damage Reported,0,0,2020 Ram 1500 Laramie,47998,21,26.0,144.5,40.9,40.9,0,5196,"6,280/6,280 lbs",Four Wheel Drive,Automatic,410,3950,232.9,82.1,77.6,15,21,8, Gas,5.7,Gray,Black,1038.0
25,2,No Accidents or Damage Reported,0,0,2021 Jeep Gladiator Overland,34998,53,22.0,137.3,41.2,42.8,0,4720,"4,000/4,000 lbs",Null,Automatic,260,4400,218.0,73.8,75.0,16,23,6, Gas,3.6,White,Black,590.9
26,3,No Accidents or Damage Reported,0,2,2020 Ram 1500 Bighorn,33998,48,26.0,153.5,40.9,40.9,0,4935,"6,590/6,590 lbs",Rear Wheel Drive,Automatic,269,4800,241.8,82.1,77.4,20,25,6, Gas,3.6,Red,Black,560.4
27,6,No Accidents or Damage Reported,0,9,2017 Toyota Tundra SR5,31998,43,26.4,145.7,42.5,39.7,0,5100,"6,800/6,800 lbs",Rear Wheel Drive,Automatic,327,3400,228.9,79.9,76.0,15,19,8, Gas,4.6,Black,Black,961.8
28,5,No Accidents or Damage Reported,0,0,2018 Ford F150 Lariat,37998,60,26.0,157.0,43.9,40.8,0,4912,"7,000/7,000 lbs",Four Wheel Drive,Automatic,470,3500,243.7,79.9,77.3,17,23,6, Turbo Gas,3.5,Silver,Black,1342.9
