,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
75,2017 Mercedes-Benz SL450,50998,27 ,6,No Accidents or Damage Reported,0,0,19.8,101.7,42.9,39.1,0,3826,Null,Rear Wheel Drive,Automatic,369,2000,182.3,73.9,51.2,20,28,6, Turbo Gas,3.0,Blue,Black,1845.0
76,2021 Mazda MX-5 Miata RF Club,29998,15 ,2,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,0,2496,Null,Rear Wheel Drive,Automatic,151,4000,154.1,68.3,49.0,26,35,4, Gas,2.0,Gray,Black,377.5
77,2013 Chevrolet Camaro ZL1,42998,18 ,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,0,4120,Null,Rear Wheel Drive,Manual 6 Speed,556,4200,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8
78,2020 Dodge Challenger SXT,25998,47 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Red,Black,558.3
79,2018 Chevrolet Corvette Stingray,48998,48 ,5,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,16,25,8, Gas,6.2,Blue,Black,1000.0
80,2016 Jaguar F-Type S,37998,39 ,7,No Accidents or Damage Reported,0,2,18.5,103.2,43.0,37.0,0,3735,Null,All Wheel Drive,Automatic,339,3500,176.0,75.7,51.5,18,26,6, Supercharged Gas,3.0,Gray,Black,968.6
81,2015 Mercedes-Benz SLK250,27998,43 ,8,No Accidents or Damage Reported,0,1,18.5,95.7,42.5,39.1,0,3241,Null,Rear Wheel Drive,Automatic,229,2000,162.8,71.5,51.2,22,32,4, Turbo Gas,1.8,Black,Burgundy,1145.0
82,2016 Scion FR-S,24998,22 ,7,No Accidents or Damage Reported,0,2,13.2,101.2,41.9,37.1,0,2758,Null,Rear Wheel Drive,Manual 6 Speed,151,6400,166.7,69.9,50.6,22,30,4, Gas,2.0,White,Black,235.9
84,2018 Chevrolet Camaro SS,37998,21 ,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,Black,Black,1034.1
85,2018 Genesis G80,30998,28 ,5,No Accidents or Damage Reported,0,0,20.3,118.5,45.7,41.1,0,4195,Null,Rear Wheel Drive,Automatic,293,5000,196.5,74.4,58.3,19,27,6, Gas,3.8,Gray,Black,586.0
