,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
120,2018 Chevrolet Camaro SS,"$37,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,,455 torque@4400rpm,455 horsepower@6000rpm,19.0 gal,"188.30"" L x 74.70"" W x 53.10"" H","110.70""",P245/40ZR20,"43.90""","38.50""",Null,"3,685 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Black/Black,None,2']
121,2022 Ford Mustang Ecoboost Premium,"$26,998*",43K miles,1 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,29 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
122,2020 Dodge Challenger SXT,"$26,998*",43K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,858 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
123,2020 Dodge Challenger SXT,"$26,998*",44K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,858 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,White/Black,None,2']
124,2023 Nissan Z Performance,"$57,998*",5K miles,Current Year,No Accidents or Damage Reported,Null,,350 torque@5200rpm,400 horsepower@6400rpm,Null,"172.4"" L x 72.6"" W x 51.8"" H","100.4""",P255/40WR19,"42.9""","38.2""",Null,Null,Null,19 city/28 hwy,"6-cyl, Turbo Gas, 3.0L",Rear Wheel Drive,Automatic,Black/Blue,None,2']
125,2013 Chevrolet Camaro ZL1,"$42,998*",18K miles,10 year(s),,Null,2 Service Record(s) Reported,556 torque@4200rpm,580 horsepower@6000rpm,19.0 gal,"190.40"" L x 75.50"" W x 54.20"" H","112.30""",P285/35ZR20,"42.40""","37.40""",Null,"4,120 lbs",Null,14 city/19 hwy,"8-cyl, Supercharged Gas, 6.2L",Rear Wheel Drive,Manual 6 Speed,Black/Black,None,2']
126,2015 Ford Mustang Ecoboost,"$22,998*",34K miles,8 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,320 torque@2500rpm,310 horsepower@5500rpm,15.5 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/55HR17,"44.5""","37.6""",Null,"3,532 lbs",Null,22 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,White/Black,None,2']
127,2017 Chevrolet Camaro LT,"$27,998*",43K miles,6 year(s),No Accidents or Damage Reported,Null,,284 torque@5300rpm,335 horsepower@6800rpm,19.0 gal,"188.30"" L x 74.70"" W x 53.10"" H","110.70""",P245/50R18,"43.90""","38.50""",Null,"3,354 lbs",Null,16 city/28 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Black/Black,None,2']
128,2019 Buick Cascada Premium,"$28,998*",24K miles,4 year(s),No Accidents or Damage Reported,Null,,207 torque@1800-4500rpm,200 horsepower@5500rpm,14.3 gal,"184.9"" L x 72.4"" W x 56.8"" H","106.1""",P245/40R20,"42.2""","37.8""",Null,"3,979 lbs",Null,21 city/29 hwy,"4-cyl, Turbo Gas, 1.6L",Front Wheel Drive,Automatic,White/Tan,None,2']
129,2022 Chevrolet Camaro 1LT,"$26,998*",35K miles,1 year(s),No Accidents or Damage Reported,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 53.1"" H","110.7""",245/50R18,"43.9""","38.5""",Null,"3,354 lbs",Null,29 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,Black/Gray,None,2']
