ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
5 year(s),No Accidents or Damage Reported,Null,,2018 Ford F150 XLT,"$33,998*",43K miles,26 gal,"145""","43.9""","40.8""",Null,"4,769 lbs","5,000/5,000 lbs",Four Wheel Drive,Automatic,265,4000,"231.9"" L "," 79.9"" W "," 77.2"" H",18 city,23 hwy,6-cyl, Gas, 3.3L,Gray,Gray,662.5
Current Year,No Accidents or Damage Reported,Null,,2023 Toyota Tacoma TRD Off Road,"$41,998*",10K miles,21.1 gal,"127.4""","42.9""","39.7""",Null,"4,550 lbs","6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,"212.3"" L "," 75.2"" W "," 70.6"" H",18 city,22 hwy,6-cyl, Gas, 3.5L,Red,Black,576.0869565217391
1 year(s),,Null,,2022 Chevrolet Silverado 1500 LTD RST,"$38,998*",51K miles,24 gal,"156.95""","44.53""","43.03""",Null,"4,867 lbs","11,900/11,900 lbs",Four Wheel Drive,Automatic,383,4100,"241.21"" L "," 81.24"" W "," 75.4"" H",15 city,20 hwy,8-cyl, Gas, 5.3L,White,Black,934.1463414634146
6 year(s),,Null,,2017 Nissan Frontier SV,"$23,998*",72K miles,21.1 gal,"139.9""","42.4""","40""",Null,"4,557 lbs","6,100/6,100 lbs",Four Wheel Drive,Automatic,281,4000,"219.4"" L "," 72.8"" W "," 70.1"" H",15 city,21 hwy,6-cyl, Gas, 4.0L,Gray,Gray,702.5000000000001
4 year(s),,Null,,2019 Ram 1500 Classic Warlock,"$31,998*",59K miles,26 gal,"140""","41""","41""",Null,"5,141 lbs","4,430/4,430 lbs",Four Wheel Drive,Automatic,410,3950,"229"" L "," 79.4"" W "," 77.7"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Red,Black,1037.9746835443038
Current Year,No Accidents or Damage Reported,Null,,2023 Ford F150 XLT,"$48,998*",1K miles,26 gal,"157""","43.9""","40.8""",Null,"4,616 lbs","7,800/7,800 lbs",Rear Wheel Drive,Automatic,400,3000,"243.5"" L "," 79.9"" W "," 75.8"" H",Null,Null,6-cyl, Turbo Gas, 2.7L,Red,Black,1333.3333333333333
7 year(s),No Accidents or Damage Reported,Null,,2016 Ford F250 XLT,"$33,998*",69K miles,35 gal,"156""","41.1""","40.7""",Null,"6,442 lbs","12,500/12,500 lbs",Rear Wheel Drive,Automatic,405,4500,"246.8"" L "," 79.9"" W "," 77.4"" H",Null,Null,8-cyl, Gas, 6.2L,Red,Tan,900.0
3 year(s),No Accidents or Damage Reported,Null,,2020 GMC Sierra 1500 Elevation,"$43,998*",34K miles,24 gal,"147.43""","44.53""","43.03""",Null,"4,835 lbs","11,100/11,100 lbs",Four Wheel Drive,Automatic,383,4100,"231.72"" L "," 81.24"" W "," 75.51"" H",16 city,,8-cyl, Gas, 5.3L,Black,Gray,934.1463414634146
2 year(s),No Accidents or Damage Reported,Null,,2021 Jeep Gladiator Willy's,"$39,998*",7K miles,22 gal,"137.3""","41.2""","42.8""",Null,"4,650 lbs","4,000/4,000 lbs",Null,Automatic,260,4400,"218"" L "," 73.8"" W "," 75"" H",16 city,23 hwy,6-cyl, Gas, 3.6L,Black,Black,590.9090909090909
3 year(s),,Null,2 Service Record(s) Reported,2020 Chevrolet Silverado 1500 Custom,"$36,998*",36K miles,24 gal,"156.95""","44.53""","43.03""",Null,"4,867 lbs","9,500/9,500 lbs",Four Wheel Drive,Automatic,305,3900,"241.21"" L "," 81.24"" W "," 75.4"" H",15 city,20 hwy,8-cyl, Gas, 5.3L,White,Black,782.0512820512821
2 year(s),No Accidents or Damage Reported,Null,,2021 Ram 1500 Limited,"$51,998*",38K miles,26 gal,"153.5""","40.9""","40.9""",Null,"5,568 lbs","7,970/7,970 lbs",Four Wheel Drive,Automatic,480,1600,"241.8"" L "," 82.1"" W "," 77.5"" H",21 city,29 hwy,6-cyl, Turbo Diesel, 3.0L,Black,Black,3000.0
1 year(s),No Accidents or Damage Reported,Null,,2022 Ford Maverick XL,"$29,998*",10K miles,13.8 gal,"121.1""","42.8""","40.3""",Null,"3,636 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,277,3000,"199.7"" L "," 72.6"" W "," 68.7"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,Gray,Black,923.3333333333334
